Blackstone,https://www.blackstone.com/,Blackstone Real Estate Investment Trust (BREIT),https://www.breit.com/,TRUE,8-10%,,Real Estate,Public Non Traded REIT
Origin Investments,https://origininvestments.com/,Origin Qualified Opportunity Zone (QOZ) Fund I,,,9-11%,,Real Estate,Real Estate LP Fund
,,Origin Qualified Opportunity Zone (QOZ) Fund II,,,9-11%,,Real Estate,Real Estate LP Fund
,,Origin IncomePlus Fund,,,8-10%,,Real Estate,Real Estate LP Fund
,,Origin Growth Fund II,,,11-14%,,Real Estate,Real Estate LP Fund
,,Origin Growth Fund III,,,11-14%,,Real Estate,Real Estate LP Fund
,,Origin Growth Fund IV,,,11-14%,4,Real Estate,Real Estate LP Fund
Clairmont Capital Group,https://www.clairmontcapitalgroup.com/,Clairmont GP Fund IV,,,,,Real Estate,Real Estate GP Fund
,,Clairmont GP Fund III,,,,,Real Estate,Real Estate GP Fund
Reliant Real Estate Management,https://www.reliant-mgmt.com/,Reliant Self-Storage Fund I,,,14-16%,5-6,Real Estate,Real Estate LP Fund
,,Reliant Self-Storage Fund II,,,,,Real Estate,Real Estate LP Fund
,,Reliant Self-Storage Fund III,,,,5-6,Real Estate,Real Estate LP Fund
MLG Capital,https://mlgcapital.com/,MLG Private Fund VI,,,,,Real Estate,Real Estate LP Fund
,,MLG Private Fund V,,,,,Real Estate,Real Estate LP Fund
,,MLG Private Fund IV,,,,,Real Estate,Real Estate LP Fund
Bell Partners,https://bellpartnersinc.com/,Bell Partners Fund VIII,,,,,Real Estate,Real Estate LP Fund
,,Bell Partners Fund VII,,,,,Real Estate,Real Estate LP Fund
Christina,https://christinala.com/,Christina 1,,,,,Real Estate,Real Estate LP Fund
,,Christina 2,,,,,Real Estate,Real Estate LP Fund
,,Christina 3,,,,,Real Estate,Real Estate LP Fund
,,Christina 4,,,,,Real Estate,Real Estate LP Fund
,,Christina 5 Wealth Builder Fund,,,,,Real Estate,Real Estate LP Fund
,,Christina 5 Income Builder Fund,,,,,Real Estate,Real Estate LP Fund
Saratoga Group,https://saratogagroup.com/,Saratoga MHP Fund IV,,,,,Real Estate,Real Estate LP Fund
,,Saratoga MHP Fund V,,,,,Real Estate,Real Estate LP Fund
,,Saratoga MHP Fund VI,,,,,Real Estate,Real Estate LP Fund
,,Saratoga MHP Fund VII,,,,,Real Estate,Real Estate LP Fund
,,Saratoga MHP Fund VIII,,,,,Real Estate,Real Estate LP Fund
Starwood Capital Group,https://www.starwoodcapital.com/,Starwood Real Estate Income Trust (SREIT),https://www.starwoodnav.reit/,TRUE,,,Real Estate,Public Non Traded REIT
Brookfield,https://www.brookfield.com/,Brookfield REIT,https://www.brookfieldoaktree.com/,TRUE,,,Real Estate,Public Non Traded REIT
Three Pillars Communities,https://threepillarcommunities.com/,Three Pillars Communities MHC Fund 2,,,,,Real Estate,Real Estate LP Fund
Cetan Funds,https://cetanfunds.com/,Cetan Income Fund,,,,,Real Estate,Hard Money Loan Fund
Grubb Properties,https://www.grubbproperties.com/,Link Apartments Opportunity Zone REIT,,,,,Real Estate,Real Estate LP Fund
,,Grubb Properties Fund VII,,,,,Real Estate,Real Estate LP Fund
Investcorp Strategic Capital Partners,https://www.investcorp.com/,Investcorp Strategic Capital Partners GP Fund,,,,,Private Equity,Private Equity GP Fund
Jones Lang LaSalle,https://www.us.jll.com/,JLL Income Property Trust (JLLIPT) ,https://jllipt.com/,TRUE,,,Real Estate,Public Non Traded REIT
Socotra Capital,https://socotracapital.com/,The Socotra Fund,,,,,Real Estate,Hard Money Loan Fund
,,The Socotra Opportunity Fund,,,,,Real Estate,Hard Money Loan Fund
Ballast Rock,ballastrock.com,Sunbelt Multifamily Fund I ,,,,,Real Estate,Real Estate LP Fund
,,Sunbelt Multifamily Fund II,,,,,Real Estate,Real Estate LP Fund
,,Louisiana Green Fuels Fund,,,,,Real Estate,Real Estate LP Fund
,,Sunbelt Multifamily Fund III,,,,,Real Estate,Real Estate LP Fund
Pelorus Equity Group,https://pelorusequitygroup.com/,Pelorus Fund,,,,,Real Estate,Hard Money Loan Fund
Griffis Residential,https://griffisinvestments.com/,Griffis Residential Income Trust (GRIT),,,,,Real Estate,Real Estate LP Fund
,,Griffis Residential Premium Apartment Fund V,,,,,Real Estate,Real Estate LP Fund
Seneca Capital Partners ,https://senecacp.com/,Seneca Capital Partners Income Real Estate Fund III,,,,,Real Estate,Real Estate LP Fund
Sortis,https://sortis.com/,Sortis Income Fund,,,,,Real Estate,Hard Money Loan Fund
,,Sortis REIT,,TRUE,,,Real Estate,Public Non Traded REIT
,,Sortis Distressed Real Estate Opportunity Fund,,,,,Real Estate,Real Estate LP Fund
Olympus Property,https://www.olympusproperty.com/,Olympus Property XI,,,,,Real Estate,Real Estate LP Fund
,,Olympus Property X,,,,,Real Estate,Real Estate LP Fund
Arixa Capital ,https://www.arixacapital.com/,Arixa Secured Income Fund,,,,,Real Estate,Hard Money Loan Fund
,,Arixa Enhanced Income Fund,,,,,Real Estate,Hard Money Loan Fund
10 Federal,https://10federal.com/,10 Federal Self Storage 3,,,,,Real Estate,Real Estate LP Fund
,,10 Federal Self Storage 2,,,,,Real Estate,Real Estate LP Fund
,,10 Federal Self Storage I,,,,,Real Estate,Real Estate LP Fund
Capstone Capital Partners,https://www.capstonelending.com/,Capstone Capital Partners Fund,,,,,Real Estate,Real Estate LP Fund
Avondale Private Lending,https://avondaleprivatelending.com/,Avondale Private Lending Fund,,,,,Real Estate,Hard Money Loan Fund
Terrapin Investments,https://terrapinhospitality.com/,ABQ Airport Holiday Inn and Suites,,,,,Real Estate,Real Estate LP Fund
Willow Creek Partners,https://willowcreekpartners.com/,101 North Ripley,,,,,Real Estate,Real Estate LP Fund
